SUBURB,LOC_PID,Centroid_Latitude,Centroid_Longitude
TETOORA ROAD,VIC2496,-38.278287556888884,145.88794253284436
GLENDONALD,VIC2980,-37.360685769347825,143.8484778071739
BALMATTUM,VIC117,-36.7227649621605,145.68693786956797
WOOMELANG,VIC2854,-35.67489025076924,142.6448217190769
PATCHEWOLLOCK,VIC2041,-35.40049253894068,142.25654585076268
KANIVA,VIC1290,-36.343913383110085,141.2746303040671
KOOREH,VIC1381,-36.65806608914139,143.3708025288283
NHILL,VIC1935,-36.32252004290984,141.56401535696722
DARTMOUTH,VIC717,-36.639006041513994,147.62731763932527
TELOPEA DOWNS,VIC2484,-35.910865890698396,141.01540506777786
DIGGORA,VIC750,-36.361684553913044,144.5126509243478
GLENISLA,VIC1021,-37.203228261418744,142.13296909505732
LILLIMUR,VIC1497,-36.40472117250001,141.12244172760415
WULGULMERANG WEST,VIC2873,-37.23550702225192,148.15913068592945
SWAN ISLAND,VIC2410,-38.249887889942514,144.67896559183902
KYVALLEY,VIC1410,-36.29870939925372,145.01001506447759
BRANXHOLME,VIC321,-37.854435652445645,141.8034618511957
BORNES HILL,VIC303,-37.53987266168085,142.40887150282987
TANJIL,VIC2443,-37.895640066038474,146.21020106615268
GLEN VALLEY,VIC1003,-36.9295630183896,147.5308205715324
SWIFTS CREEK,VIC2416,-37.253710534097415,147.66568552487118
ROCKLANDS,VIC2188,-37.2216999649393,142.0585626895144
WOOLSTHORPE,VIC2853,-38.19279003264019,142.4966773718378
ZUMSTEINS,VIC2945,-37.12215921264001,142.39869561112005
HALLORA,VIC1118,-38.265321357421364,145.83018926635222
MORNINGTON,VIC1757,-38.214256953197676,145.04806099668605
WAITCHIE,VIC2651,-35.38259805491526,143.09009770288134
FERNSHAW,VIC907,-37.60582055433012,145.65892059205734
DOUGLAS,VIC777,-37.03122238412696,141.73151469968252
LANGKOOP,VIC1458,-37.12662562911595,141.15717055031362
WENSLEYDALE,VIC2749,-38.347101215679025,144.0572719764197
SERVICETON,VIC2266,-36.33898054481483,141.0401870644444
RUPANYUP,VIC2216,-36.667867328733855,142.77175558372164
BUCHAN SOUTH,VIC367,-37.55499178471563,148.11064826191944
NETHERBY,VIC1915,-36.10224834509615,141.66770459961538
MACARTHUR,VIC1555,-38.04207578505617,142.03906110983144
MARRAWEENEY,VIC1608,-36.75863687177304,145.725560482695
LISMORE,VIC1511,-37.95853526946692,143.2996297141911
LICOLA,VIC1493,-37.58957777627905,146.59257247961233
YAAPEET,VIC2887,-35.72715496494117,142.05566319823527
COWANGIE,VIC655,-35.21632696989303,141.371386583262
NARBETHONG,VIC1876,-37.54597170065556,145.63455954134037
BOLWARRAH,VIC276,-37.51470892612071,144.1320955702586
SKENES CREEK,VIC2291,-38.716248094758036,143.71070856427417
MAFEKING,VIC1565,-37.379531504411126,142.4985226286081
CHURCHILL ISLAND,VIC560,-38.501390313382345,145.3404560391177
MASSEY,VIC1616,-36.22349343970149,142.88658874776115
PRINCES HILL,VIC2118,-37.780403815270276,144.96445386324328
SUNSET STRIP,VIC2397,-38.49548542249999,145.2665615625
EUREKA,VIC882,-37.56438233205129,143.88240331410256
WIMBLEDON HEIGHTS,VIC2803,-38.48041704090909,145.23597140181818
RIPPONLEA,VIC2176,-37.875627586176485,144.99506081676472
GARDENVALE,VIC955,-37.897970189565214,145.00920980782607
EGANSTOWN,VIC843,-37.36049098267716,144.09831943173225
WIRRATE,VIC2818,-36.77866264876219,145.02258487885425
BLACKHEATH,VIC255,-36.46803418062499,142.2853821478125
NATIMUK,VIC1895,-36.72103898701616,141.9914346998505
DUCHEMBEGARRA,VIC798,-36.63486452250001,141.96447504873385
LALOR,VIC1446,-37.66690526784244,145.02048087574104
KERGUNYAH SOUTH,VIC1326,-36.430025699634136,147.04677345210342
DEDERANG,VIC723,-36.491705129109185,147.00265850416662
UPPER GUNDOWRING,VIC2618,-36.52038549898059,147.08540301935676
NAYOOK,VIC1900,-37.91635667444444,145.94029451685185
GENTLE ANNIE,VIC971,-37.92653851016358,145.84460916065427
CURLEWIS,VIC695,-38.162463034534035,144.53148565969545
WANDANA HEIGHTS,VIC2672,-38.176775907777774,144.3013520451852
WARANGA SHORES,VIC2691,-36.55387590932691,145.09243081990377
WATERFORD PARK,VIC2721,-37.300410382027025,145.0660160609459
SANDHURST,VIC2236,-38.08149297705883,145.20457777411764
NELSON,VIC1910,-38.049297071514616,141.1163391240508
TOWANINNY SOUTH,VIC2564,-35.93304276853658,143.33612867829265
MOUNT RICHMOND,VIC1804,-38.171780546604154,141.30018563564727
DRIK DRIK,VIC782,-38.0258144495586,141.24137147343453
CHETWYND,VIC544,-37.2398452028059,141.3669547240119
POWERS CREEK,VIC2112,-37.25729883780163,141.29315229857917
